customer_id,transaction_date,amount,description,location,transaction_value,notes,year,quarter,amount_difference,high_value_transaction
1,2022-01-01,5000,Purchase A,Store A,1500,Note 1,2022,1,3500,No
2,2022-02-15,1200,Purchase B,Store B,2000,Note 2,2022,1,-800,No
3,2022-03-20,800,Purchase C,Store C,1000,Note 3,2022,1,-200,No
4,2022-04-10,3000,Purchase D,Store D,2500,Note 4,2022,2,500,No
5,2022-05-05,6000,Purchase E,Store E,1800,Note 5,2022,2,4200,Yes
6,2022-06-10,4500,Purchase F,Store F,1200,Note 6,2022,2,3300,No
7,2022-07-15,200,Purchase G,Store G,700,Note 7,2022,3,-500,No
8,2022-08-20,3500,Purchase H,Store H,3000,Note 8,2022,3,500,No
9,2022-09-25,700,Purchase I,Store I,600,Note 9,2022,3,100,No
10,2022-10-30,1800,Purchase J,Store J,1200,Note 10,2022,4,600,No
11,2022-11-05,2200,Purchase K,Store K,1500,Note 11,2022,4,700,No
12,2022-12-10,900,Purchase L,Store L,800,Note 12,2022,4,100,No
13,2023-01-15,4800,Purchase M,Store M,2000,Note 13,2023,1,2800,No
14,2023-02-20,300,Purchase N,Store N,700,Note 14,2023,1,-400,No
15,2023-03-25,4200,Purchase O,Store O,1800,Note 15,2023,1,2400,No
16,2023-04-30,2600,Purchase P,Store P,1000,Note 16,2023,2,1600,No
17,2023-05-05,700,Purchase Q,Store Q,400,Note 17,2023,2,300,No
18,2023-06-10,1500,Purchase R,Store R,1500,Note 18,2023,2,0,No
19,2023-07-15,3200,Purchase S,Store S,3000,Note 19,2023,3,200,No
20,2023-08-20,1000,Purchase T,Store T,600,Note 20,2023,3,400,No
21,2023-09-25,5500,Purchase U,Store U,2500,Note 21,2023,3,3000,Yes
22,2023-10-30,1200,Purchase V,Store V,700,Note 22,2023,4,500,No
23,2023-11-05,700,Purchase W,Store W,400,Note 23,2023,4,300,No
24,2023-12-10,2400,Purchase X,Store X,1200,Note 24,2023,4,1200,No
25,2024-01-15,1800,Purchase Y,Store Y,800,Note 25,2024,1,1000,No
26,2024-02-20,900,Purchase Z,Store Z,400,Note 26,2024,1,500,No
27,2024-03-25,4200,Purchase AA,Store AA,1800,Note 27,2024,1,2400,No
28,2024-04-30,2600,Purchase BB,Store BB,1000,Note 28,2024,2,1600,No
29,2024-05-05,700,Purchase CC,Store CC,400,Note 29,2024,2,300,No
30,2024-06-10,1500,Purchase DD,Store DD,1500,Note 30,2024,2,0,No
31,2024-07-15,3200,Purchase EE,Store EE,3000,Note 31,2024,3,200,No
32,2024-08-20,1000,Purchase FF,Store FF,600,Note 32,2024,3,400,No
33,2024-09-25,5500,Purchase GG,Store GG,2500,Note 33,2024,3,3000,Yes
34,2024-10-30,1200,Purchase HH,Store HH,700,Note 34,2024,4,500,No
35,2024-11-05,700,Purchase II,Store II,400,Note 35,2024,4,300,No
36,2024-12-10,2400,Purchase JJ,Store JJ,1200,Note 36,2024,4,1200,No
37,2025-01-15,1800,Purchase KK,Store KK,800,Note 37,2025,1,1000,No
38,2025-02-20,900,Purchase LL,Store LL,400,Note 38,2025,1,500,No
39,2025-03-25,4200,Purchase MM,Store MM,1800,Note 39,2025,1,2400,No
40,2025-04-30,2600,Purchase NN,Store NN,1000,Note 40,2025,2,1600,No
41,2025-05-05,700,Purchase OO,Store OO,400,Note 41,2025,2,300,No
42,2025-06-10,1500,Purchase PP,Store PP,1500,Note 42,2025,2,0,No
